,economy,GDP per capita (current US$),"Government expenditure on education, total (% of government expenditure)",Current health expenditure (% of GDP),Gini index,"Life expectancy at birth, total (years)",year,region,ncomelvl,incomelvl
916,EAP,7241.92533795167,12.6456203460693,4.82032536758894,,75.2396714880306,2017,,,
917,EAP,8045.94448809301,12.1415599579518,4.91927044261438,,75.57828618156,2018,,,
918,EAP,8286.43967532333,11.4813636515408,5.06518052442302,,75.7689690321509,2019,,,
919,EAP,8391.36838432689,11.0687719907488,5.35322263142449,,75.6976393295064,2020,,,
920,EAP,9974.63640001599,11.5062064227785,5.26144564198792,,75.2781418410849,2021,,,
921,EAP,10106.8725194012,12.7649008301947,5.15451107926553,,75.9325409436903,2022,,,
922,EAP,10125.7668065643,12.0143851118856,,,75.8806830895266,2023,,,
923,EAP,10396.8255168912,13.0909885057471,,,,2024,,,
924,EAR,2936.94376472564,16.0323505401611,4.80639214632543,,67.8244434669729,2010,,,
925,EAR,3261.14562505487,15.423680305481,4.76389438298296,,68.2600380693651,2011,,,
926,EAR,3360.45461072029,16.1167023251159,4.84454772800885,,68.6094630284121,2012,,,
927,EAR,3363.11822444288,17.2339964069829,4.94075740664027,,68.962837783411,2013,,,
928,EAR,3431.30202471111,16.4692016361374,4.93320793504409,,69.3249758824304,2014,,,
929,EAR,3219.68827173818,16.0845552688873,5.09854921168731,,69.6305484421664,2015,,,
930,EAR,3269.98432817621,16.3329776387316,5.02838951772986,,69.9484837084835,2016,,,
931,EAR,3505.10621501561,17.0963897705078,4.86223472746513,,70.2729949393554,2017,,,
932,EAR,3515.76621670583,15.7180234935903,4.69420843554617,,70.5486659921504,2018,,,
933,EAR,3543.32390703605,14.5374343518522,4.6275304438921,,70.8424064605001,2019,,,
934,EAR,3250.74974734387,15.7641649523771,5.04675544515228,,69.8801308490982,2020,,,
935,EAR,3765.51079786712,15.3480166020191,5.07274654361778,,68.1790994839633,2021,,,
936,EAR,4113.00084852322,14.1554744728238,4.70314696610425,,71.4304552508694,2022,,,
937,EAR,4313.64804240795,13.2610232294175,,,71.7962449795855,2023,,,
938,EAR,4510.25268168449,15.5476634773113,,,,2024,,,
939,EAS,7760.44827813549,16.222620010376,6.26979601225505,,74.6299790050688,2010,,,
940,EAS,8929.66684535938,15.5679893431966,6.69464742386038,,74.8252830592191,2011,,,
941,EAS,9479.32344288198,18.0904197692871,6.74962187527116,,75.1059726864745,2012,,,
942,EAS,9522.66749841489,16.7030005455017,6.51094073877777,,75.3347729864006,2013,,,
943,EAS,9759.27563362099,15.5285301208496,6.50256005053995,,75.5644270391791,2014,,,
944,EAS,9657.52889618953,15.1455329623945,6.49133181360211,,75.7926010192992,2015,,,
945,EAS,9928.67149927477,15.3664102554321,6.56327262916991,,75.9870166732102,2016,,,
946,EAS,10526.6771695761,14.6880074737968,6.52232475551989,,76.0789923585537,2017,,,
947,EAS,11394.4809001741,14.5594902038574,6.53775020752183,,76.3914229383171,2018,,,
948,EAS,11578.2748298091,13.4748601913452,6.70689682888116,,76.586261929345,2019,,,
